iter	Passed	Remaining
0	143	143569
1	144	72142
2	145	48350
3	146	36435
4	147	29285
5	147	24509
6	148	21084
7	149	18518
8	150	16522
9	150	14925
10	151	13625
11	152	12546
12	153	11637
13	154	10855
14	154	10172
15	155	9579
16	156	9053
17	157	8583
18	158	8166
19	158	7788
20	159	7449
21	160	7138
22	161	6853
23	162	6593
24	162	6354
25	163	6138
26	164	5935
27	165	5746
28	166	5570
29	167	5406
30	168	5254
31	168	5109
32	169	4975
33	170	4846
34	171	4725
35	172	4613
36	173	4506
37	173	4404
38	174	4305
39	175	4212
40	176	4122
41	176	4036
42	177	3954
43	178	3877
44	179	3806
45	180	3737
46	181	3671
47	181	3607
48	182	3546
49	183	3490
50	184	3434
51	185	3380
52	186	3329
53	187	3279
54	188	3230
55	188	3184
56	189	3139
57	190	3096
58	191	3053
59	192	3014
60	193	2972
61	193	2934
62	194	2895
63	195	2858
64	196	2822
65	197	2788
66	197	2755
67	198	2717
68	199	2687
69	200	2657
70	200	2628
71	201	2600
72	202	2572
73	203	2545
74	204	2518
75	205	2493
76	205	2468
77	206	2444
78	207	2420
79	208	2396
80	209	2372
81	210	2351
82	210	2329
83	211	2307
84	212	2284
85	212	2263
86	213	2240
87	214	2220
88	215	2200
89	215	2181
90	216	2164
91	217	2146
92	218	2128
93	219	2111
94	220	2095
95	220	2079
96	221	2063
97	222	2047
98	223	2032
99	224	2017
100	225	2003
101	225	1985
102	226	1972
103	227	1957
104	228	1944
105	228	1931
106	229	1918
107	230	1905
108	231	1892
109	232	1879
110	233	1867
111	234	1855
112	234	1843
113	235	1831
114	236	1820
115	237	1808
116	238	1796
117	238	1785
118	239	1772
119	240	1762
120	241	1752
121	242	1741
122	242	1728
123	243	1718
124	244	1708
125	244	1699
126	245	1690
127	246	1679
128	247	1670
129	248	1661
130	249	1652
131	249	1643
132	250	1634
133	251	1625
134	252	1617
135	253	1608
136	254	1600
137	254	1592
138	255	1584
139	256	1577
140	257	1570
141	258	1563
142	259	1555
143	260	1548
144	261	1543
145	262	1536
146	263	1530
147	264	1524
148	265	1518
149	266	1512
150	267	1506
151	269	1501
152	270	1495
153	271	1489
154	272	1483
155	273	1477
156	274	1471
157	275	1467
158	276	1461
159	277	1455
160	278	1450
161	279	1444
162	280	1439
163	281	1434
164	282	1428
165	283	1423
166	284	1417
167	285	1413
168	286	1408
169	287	1403
170	288	1398
171	289	1393
172	290	1389
173	291	1384
174	292	1380
175	293	1375
176	294	1371
177	295	1366
178	296	1361
179	297	1355
180	298	1349
181	299	1344
182	300	1340
183	301	1336
184	302	1332
185	303	1328
186	304	1324
187	305	1319
188	306	1315
189	307	1312
190	308	1308
191	309	1303
192	311	1300
193	312	1296
194	313	1292
195	314	1288
196	315	1284
197	315	1279
198	316	1274
199	317	1270
200	318	1266
201	319	1262
202	321	1261
203	322	1260
204	324	1256
205	325	1254
206	327	1255
207	329	1253
208	330	1251
209	332	1249
210	333	1246
211	334	1242
212	335	1240
213	336	1236
214	337	1233
215	338	1229
216	339	1226
217	340	1223
218	341	1219
219	342	1214
220	343	1211
221	344	1207
222	345	1204
223	346	1201
224	347	1197
225	349	1195
226	350	1192
227	351	1189
228	352	1186
229	353	1184
230	354	1181
231	355	1178
232	356	1174
233	357	1170
234	358	1167
235	359	1164
236	360	1160
237	362	1160
238	363	1157
239	364	1153
240	365	1150
241	366	1148
242	367	1145
243	368	1142
244	369	1139
245	370	1136
246	372	1135
247	373	1132
248	374	1129
249	375	1126
250	376	1124
251	378	1122
252	379	1120
253	380	1117
254	381	1114
255	382	1112
256	383	1108
257	384	1106
258	386	1104
259	387	1104
260	389	1102
261	390	1100
262	392	1098
263	393	1096
264	394	1094
265	395	1091
266	396	1088
267	397	1085
268	398	1082
269	399	1079
270	400	1076
271	401	1074
272	402	1071
273	403	1068
274	404	1065
275	404	1062
276	406	1059
277	407	1057
278	408	1054
279	409	1052
280	410	1049
281	411	1047
282	412	1045
283	413	1042
284	414	1041
285	415	1038
286	417	1037
287	418	1034
288	419	1032
289	420	1029
290	421	1027
291	422	1024
292	423	1021
293	424	1019
294	425	1016
295	426	1014
296	427	1011
297	428	1009
298	429	1007
299	430	1004
300	431	1002
301	432	999
302	433	998
303	435	996
304	436	994
305	437	991
306	438	989
307	439	986
308	440	984
309	441	981
310	442	979
311	443	977
312	444	976
313	445	973
314	446	971
315	448	970
316	449	968
317	450	965
318	451	964
319	452	961
320	453	959
321	454	957
322	456	956
323	457	954
324	458	952
325	459	950
326	461	949
327	462	948
328	464	946
329	465	945
330	466	943
331	467	941
332	468	938
333	469	936
334	470	934
335	471	932
336	472	930
337	474	929
338	475	927
339	477	927
340	478	925
341	479	923
342	481	921
343	482	919
344	483	917
345	484	915
346	485	913
347	486	911
348	488	910
349	489	908
350	490	906
351	491	904
352	492	903
353	494	901
354	495	899
355	496	898
356	497	896
357	498	894
358	500	892
359	501	890
360	502	889
361	503	887
362	504	885
363	505	883
364	507	883
365	508	881
366	510	880
367	511	878
368	512	876
369	513	875
370	514	872
371	515	870
372	516	868
373	517	866
374	518	864
375	520	863
376	521	861
377	522	859
378	523	857
379	524	855
380	525	853
381	526	851
382	527	848
383	528	847
384	529	845
385	529	843
386	530	841
387	531	839
388	532	837
389	533	835
390	534	832
391	535	830
392	536	829
393	537	827
394	538	825
395	539	823
396	540	821
397	542	820
398	543	818
399	544	816
400	545	814
401	546	812
402	546	810
403	548	808
404	548	806
405	549	804
406	550	802
407	551	800
408	552	798
409	553	796
410	554	794
411	554	792
412	555	790
413	556	788
414	557	786
415	558	784
416	559	782
417	560	780
418	561	778
419	562	776
420	563	774
421	563	772
422	565	770
423	565	768
424	566	766
425	567	764
426	568	763
427	569	761
428	570	759
429	571	757
430	572	755
431	573	753
432	574	751
433	575	750
434	576	748
435	576	746
436	577	744
437	578	742
438	579	740
439	580	738
440	581	737
441	582	735
442	583	734
443	584	732
444	585	730
445	586	728
446	587	726
447	588	724
448	589	723
449	590	721
450	590	719
451	591	717
452	592	715
453	593	713
454	594	711
455	596	711
456	598	710
457	599	708
458	599	707
459	601	705
460	601	703
461	602	701
462	603	700
463	604	698
464	605	696
465	606	695
466	607	693
467	608	692
468	609	690
469	610	688
470	611	687
471	613	685
472	614	684
473	615	682
474	616	681
475	617	679
476	618	677
477	619	676
478	620	674
479	621	673
480	622	671
481	623	670
482	624	668
483	625	667
484	626	665
485	628	664
486	629	662
487	629	660
488	630	659
489	631	657
490	632	656
491	633	654
492	635	653
493	636	651
494	636	649
495	637	647
496	638	646
497	639	644
498	640	642
499	641	641
500	641	639
501	642	637
502	643	635
503	644	634
504	645	632
505	646	630
506	647	629
507	647	627
508	649	626
509	650	624
510	651	622
511	651	621
512	652	619
513	653	618
514	654	616
515	655	615
516	656	613
517	657	611
518	658	610
519	659	608
520	660	607
521	661	605
522	662	603
523	663	602
524	664	600
525	664	599
526	665	597
527	666	595
528	667	594
529	668	592
530	668	590
531	669	589
532	670	587
533	671	586
534	672	584
535	673	582
536	674	581
537	675	579
538	676	578
539	676	576
540	677	574
541	678	573
542	679	571
543	680	570
544	680	568
545	681	566
546	682	565
547	683	563
548	684	562
549	685	560
550	686	559
551	687	557
552	688	556
553	688	554
554	689	553
555	690	551
556	691	549
