iter	Passed	Remaining
0	130	130489
1	131	65740
2	132	44063
3	133	33185
4	134	26695
5	134	22336
6	135	19223
7	136	16888
8	136	15073
9	137	13617
10	138	12428
11	138	11438
12	139	10600
13	140	9885
14	141	9261
15	141	8716
16	142	8234
17	143	7805
18	143	7420
19	144	7075
20	145	6762
21	145	6478
22	146	6218
23	147	5989
24	148	5781
25	149	5584
26	149	5401
27	150	5226
28	151	5063
29	151	4911
30	152	4769
31	153	4634
32	153	4509
33	154	4392
34	155	4280
35	155	4175
36	156	4075
37	157	3981
38	157	3891
39	158	3805
40	159	3724
41	159	3647
42	160	3578
43	161	3514
44	162	3446
45	163	3382
46	163	3319
47	164	3260
48	165	3203
49	165	3149
50	166	3096
51	167	3046
52	167	2997
53	168	2950
54	169	2905
55	169	2861
56	170	2818
57	171	2777
58	171	2738
59	172	2700
60	173	2663
61	173	2627
62	174	2592
63	175	2562
64	176	2533
65	176	2503
66	177	2473
67	178	2442
68	178	2413
69	179	2385
70	180	2357
71	180	2331
72	181	2304
73	182	2279
74	182	2254
75	183	2230
76	184	2206
77	184	2183
78	185	2161
79	186	2139
80	186	2118
81	187	2097
82	187	2075
83	188	2058
84	189	2041
85	190	2025
86	191	2009
87	192	1991
88	192	1974
89	193	1957
90	194	1943
91	195	1927
92	196	1912
93	196	1896
94	197	1881
95	198	1866
96	198	1850
97	199	1836
98	200	1821
99	200	1807
100	201	1794
101	202	1780
102	202	1767
103	203	1754
104	204	1742
105	205	1731
106	205	1718
107	206	1706
108	207	1694
109	207	1682
110	208	1670
111	209	1658
112	209	1647
113	210	1636
114	211	1625
115	211	1614
116	212	1602
117	213	1592
118	213	1582
119	214	1571
120	214	1561
121	215	1550
122	216	1541
123	216	1531
124	217	1522
125	218	1513
126	218	1504
127	219	1497
128	220	1490
129	221	1482
130	222	1474
131	222	1465
132	223	1457
133	224	1448
134	224	1440
135	225	1432
136	226	1424
137	226	1416
138	227	1409
139	228	1401
140	228	1393
141	229	1384
142	229	1377
143	230	1370
144	231	1363
145	231	1356
146	232	1349
147	233	1342
148	234	1337
149	234	1331
150	235	1324
151	236	1318
152	236	1311
153	237	1305
154	238	1298
155	238	1292
156	239	1286
157	240	1281
158	241	1275
159	241	1269
160	242	1263
161	243	1257
162	243	1252
163	244	1246
164	245	1240
165	245	1235
166	246	1229
167	247	1224
168	247	1219
169	249	1216
170	249	1211
171	250	1206
172	251	1201
173	252	1196
174	252	1192
175	254	1189
